Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
26,7324 101 20240906 1,7324,06/09/2024,BANJIR,Kec. Wasponda Ds. Balambano Kec. Tomoni Timur Ds. Manunggal Ds. Kertorahaejo,LUWU TIMUR,SULAWESI SELATAN,Dokumentasi,"● Dipicu hujan dengan intensitas tinggi pada malam hari , Kamis, 5 September 2024 , pada keesokan harinya tepatnya pada pukul 04.00 WITA air sungai yang berada di 2 titik desa tersebut meluap dan menggenangi pemukiman warga.",0,0,0,0,40,0
27,7208 101 20240903 1,7208,03/09/2024,BANJIR,Kec. Suasu Ds. Suasu Piore,PARIGI MOUTONG,SULAWESI TENGAH,Dokumentasi,● Dipicu hujan dengan intensitas sedang hingga lebat menyebabkan meluapnya Sungai,0,0,0,0,154,0
28,7271 101 20240901 1,7271,01/09/2024,BANJIR,Kec. Ulujadi Kel. Watusampu,KOTA PALU,SULAWESI TENGAH,Dokumentasi,● dipicu oleh Intensitas curah hujan yang tinggi dan aktivitas galian C menyebabkan air di pegunungan menggerus alur alam dan berdampak banjir pada Kelurahan Watusampu dan jalan poros Palu-Donggala.,0,0,0,0,15,0
29,6209 101 20240830 1,6209,30/08/2024,BANJIR,Kec. Delang Kel. Kudangan Ds. Hulu Jejabo Ds. Sepoyo Ds. Nyalang Ds. Penyombaan Ds. Landu Kantu Ds. Riam Tinggi,LAMANDAU,KALIMANTAN TENGAH,Dokumentasi,"● Dipicu hujan dengan intensitas tinggi yang berlangsung lama di Kec. Delang , mengakibatkan beberapa kelurahan dan desa terendam banjir",0,0,0,0,35,0
30,6103 101 20240830 1,6103,30/08/2024,BANJIR,Kec. Jangkang Ds. Balai Sebut Kec. Kapuas Ds. Rambin Kec. Parindu Ds. Gunam Kec. Kembayan Ds. Kuala Dua Kec. Bonti Ds. Bahta Ds. Bonti,SANGGAU,KALIMANTAN BARAT,Dokumentasi,"● Dipicu curah hujan dengan intensitas sedang-tinggi yang menyebabkan terjadinya luapan sungai Mengkiang & sungai Biang sehingga terjadi banjir pada hari Jumat, 30 Agustus 2024, Pkl. 15.00 WIB",0,0,0,0,245,0
31,6104 101 20240830 1,6104,30/08/2024,BANJIR,Kec. Jelai Hulu Ds. Kesuma Jaya,KETAPANG,KALIMANTAN BARAT,Dokumentasi,● Di picu curah hujan yang tinggi sehingga air sungai meluap dan mengakibatkan banjir,0,0,0,0,208,0
32,1207 101 20240828 1,1207,28/08/2024,BANJIR,Kec. Percut Sei Tuan Ds. Kolam,DELI SERDANG,SUMATERA UTARA,Dokumentasi,● Akibat curah Hujan yang tinggi dan berlangsung cukup lama menyebabkan air sungai buncong yang melintasi desa kolam meluap pada pukul 01:00 WIB,0,0,0,0,61,0
33,8272 101 20240828 1,8272,28/08/2024,BANJIR,Kec. Oba Tengah Kec. Oba,KOTA TIDORE KEPULAUAN,MALUKU UTARA,Dokumentasi,● Intensitas curah hujan tinggi yg berlangsung ±3 jam hingga mengakibatkan air Sungai Roi meluap dan menggenangi pemukiman warga,0,0,0,0,200,0
34,1271 101 20240827 1,1271,27/08/2024,BANJIR,Kec. Medan Sunggal Kel. Tanjung Rejo Kec. Medan Baru Kel. Patisah Hulu,KOTA MEDAN,SUMATERA UTARA,Dokumentasi,"● Dipicu hujan dengan intensitas tinggi di beberapa wilayah Kota Medan pada hari Selasa, 27 Agustus 2024 , menyebabkan terjadinya banjir.",0,0,0,0,172,0
35,7503 101 20240826 1,7503,26/08/2024,BANJIR,Kec. Bone Ds. Taludaa Ds. Muara Bone Ds. Masiaga Ds. Sogitia Kec. Bone Pantai Ds. Bilungala Ds. Tunas Jaya Kec. Suwawa Selatan Ds. Bonedaa Ds. Bondaraya Kec. Kabila Bone Ds. Olohuta,BONE BOLANGO,GORONTALO,Dokumentasi,● Dipicu hujan dengan intensitas sedang hingga lebat sejak Minggu 25 Agustus pukul 05.00 WITA yang menyebabkan debit air dari saluran warga serta beberapa aliran anak sungai meningkat dan air meluap mulai menggenangi pemukiman warga.,0,0,0,14,75,0
36,9601 101 20240826 1,9601,26/08/2024,BANJIR,Distrik Aimas Distrik Mariat Distrik Makbon Distrik Moisegen Distrik Salawati Distrik Sayosa,SORONG,PAPUA BARAT DAYA,Dokumentasi,"● Dipicu akibat hujan lebat yang terjadi sejak Jumat, 23 Agustus 2024 Pkl. 12.00 WIT sehingga menyebabkan banjir",0,0,0,0,,0
37,9671 101 20240826 1,9671,26/08/2024,BANJIR,Distrik Sorong Barat Kel. Puncak Cendrawasih Kel. Pal puting Distrik Sorong Kota Kel. Klakubik Kel. Kampung baru Distrik Sorong Kel. Klademak Distrik Malaimsimsa Kel. Klabulu Distrik Sorong Utara Kel. Malanu Kel. Matalamagi Distrik Sorong Manoi Kel. Malabutor Distrik Sorong Kepulauan Kel. Doom Timur,KOTA SORONG,PAPUA BARAT DAYA,Dokumentasi,● Dipicu hujan dengan intensitas tinggi dan permukaan air laut yang pasang,0,0,0,38,117,0
38,6210 101 20240826 1,6210,26/08/2024,BANJIR,Kec. Sepang Ds. Tanjung Karitak,GUNUNG MAS,KALIMANTAN TENGAH,Dokumentasi,● Disebabkan hujan dengan intensitas tinggi,0,0,0,0,75,0
39,8271 101 20240825 1,8271,25/08/2024,BANJIR,Kec. Pulau Ternate Kel. Rua,KOTA TERNATE,MALUKU UTARA,Dokumentasi,"● Dipicu oleh hujan dengan intensitas tinggi mengakibatkan terjadinya bencana banjir bandang pada hari Minggu, 25 Agustus 2024, Pkl. 03.30 WIT",19,1,15,40,39,1
40,7271 101 20240823 1,7271,23/08/2024,BANJIR,Kec. Tatanga Kel. Boyaoge Kec. Palu Barat Kel. Ujuna Kec. Ulujadi Kel. Donggala,KOTA PALU,SULAWESI TENGAH,Dokumentasi,● Dipicu hujan dengan intensitas yang tinggi mengakibatkan meluapnya drainase hingga merendam pemukiman warga,0,0,0,0,70,0
41,7606 101 20240823 1,7606,23/08/2024,BANJIR,Kec. Budong-budong Ds. Salugatta,MAMUJU TENGAH,SULAWESI BARAT,Dokumentasi,● Hujan dengan Intensitas tinggi Yang mengguyur Wilayah Kabupaten Mamuju Tengah pada Hari Kamis 22 Agustus 2024 yang berlangsung berkisar pukul 11.00 Wita Hingga Jumat 23.08.2024 pukul 04.30 Wita,0,0,0,0,27,0
42,1102 101 20240822 1,1102,22/08/2024,BANJIR,Kec. Bambel Ds. Pinding Ds. Kuning I Ds.Kuning II Ds.Lawe Hijo Gabungan Ds.Lawe hijo Metuah Ds.Lawe hijo Ampera Ds.Pancar Iman Ds.Terutung Seperai Ds.Lembah Haji Ds.Desa Kuta Seri Ds.pulo Perengge Ds. Teruntung Payung Hulu Ds. Lawe Kihing Kec. Lawe Bulan Ds. Kandang Mbelang Mandiri Ds.Desa Pulonas Baru Ds.Mbacang Racun Ds.Lawe Sagu Hulu Ds. Kutambaru Ds. Kutambaru Bencawan Ds. Bahagia Ds. Pulonas Baru Kec. Babussalam Ds. Gumpang Jaya Ds. Kutacane Lama Kec. Bukit Tusam Ds. Maha Singkil Ds. Kuta Lingga Kec. Lawe Sumur Ds. Terutung Megara Kec. Badar Ds. Kuta Tinggi Kec. Deleng Pokhkison Ds. Lembah Alas,ACEH TENGGARA,ACEH,Dokumentasi,"● Banjir terjadi akibat curah hujan dengan intensitas sedang-tinggi yang mengguyur sebagian wilayah Aceh Tenggara, dan menyebabkan debit Saluran Air Lawe kinga, Lawe Bulan dan Lawe Kisam meningkat hingga meluap ke badan jalan serta ke pemukiman warga. ● Akibat hujan terus menerus menyebabkan tanggul sungai Lawe Kinga bertepatan di desa Lawe Hijo Kec. Bambel jebol kurang lebih 20 m, dan beberapa tanggul lainnya (sdg dalam pendataan) sehingga menyebabkan air meluap ke badan jalan dan ke pemukiman warga.",0,0,0,0,647,0
43,6110 101 20240822 1,6110,22/08/2024,BANJIR,Kec. Menukung Ds. Menukung Kota Ds. Batu Badak Kec. Ella Hilir Ds. Nanga Ella Rumah Ds. Lengkong Nyadom Ds. Nanga Nuak Ds. Domet Ds. Popai Ds. Pelempai Jaya,MELAWI,KALIMANTAN BARAT,Dokumentasi,● Dipicu tingginya curah hujan sehingga air Sungai Melawi meluap dan menggenangi rumah warga serta beberapa fasilitas umum dan akses jalan,0,0,0,0,648,0
44,7208 101 20240822 1,7208,22/08/2024,BANJIR,Kec. Balinggi Kec. Balinggi Ds. Balinggi Kec. Parigi Utara Ds. Sakina Jaya,PARIGI MOUTONG,SULAWESI TENGAH,Dokumentasi,"● Dipicu hujan dengan intensitas tinggi yang terjadi pada hari Kamis, 22 Agustus 2024, Pkl. 19:15 WITA menyebabkan tanggul sungai mengalami kerusakan sehingga terjadi luapan & merendam pemukiman warga. Selain itu curah hujan yang tinggi mengakibatkan struktur tanah menjadi labil dan terjadi longsor di area kebun kopi sehingga berdampak pada akses jalan Nasional (Parigi Moutong - Kota Palu) / sebaliknya.",0,0,0,0,84,0
45,6108 101 20240821 1,6108,21/08/2024,BANJIR,Kec. Kuala Behe Ds. Angkanyar,LANDAK,KALIMANTAN BARAT,Dokumentasi,● AAkibat curah hujan dengan intensitas yang tinggi sehingga terjadi banjir di Desa Angkanyar Kecamatan Kuala Behe Kabupaten Landak.,1,0,0,0,,1
46,7503 101 20240820 1,7503,20/08/2024,BANJIR,Kec. Bone Ds. Taludaa Ds. Muara Bone Ds. Ilohuuwa Ds. Masiaga Kec. Bone Raya Ds. Mootayu Kec. Bonepantai Ds. Bilungala,BONE BOLANGO,GORONTALO,Dokumentasi,● Dipicu hujan dengan intensitas sedang hingga lebat dan berangsur lama sehingga menyebabkan debit air dari saluran warga meluap. Laporan masyarakat air mulai meluap pukul 03:10 WITA dan mulai menggenangi pemukiman warga,0,0,0,0,411,0
47,5201 101 20240819 1,5201,19/08/2024,BANJIR,Kec. Gerung Ds. Taman Ayu,LOMBOK BARAT,NUSA TENGGARA BARAT,Dokumentasi,"● Dipicu Gelombang tinggi yang menurut warga sering terjadi di bulan Agustus menyebabkan banjir rob terjadi di desa taman ayu, pada hari senin 19 Agustus 2024 , Pkl. 09.00 WITA",0,0,0,0,50,0
48,1224 101 20240819 1,1224,19/08/2024,BANJIR,Kec. Lotu Kec. Sitolu Kec. Lahewa Kec. Afulu,NIAS UTARA,SUMATERA UTARA,Dokumentasi,"● Dipicu hujan yg berlangsung beberapa hari, meskipun tidak terus menerus dan pada hari minggu malam debit airnya cukup tinggi dan tidak henti henti",0,0,0,0,600,0
49,1309 101 20240819 1,1309,19/08/2024,BANJIR,Kec. Siberut Selatan Desa Muntei Dsn. Peining Buttet,KEPULAUAN MENTAWAI,SUMATERA BARAT,Dokumentasi,"● Dipicu curah hujan yang cukup tinggi di Desa Muntei, Kec. Siberut Selatan",0,0,0,0,,0
50,6108 101 20240818 1,6108,18/08/2024,BANJIR,Kec. Kuala Behe Ds. Angkanyar Ds. Kedama Kec. Meranti Ds. Ampadi Kec. Menyuke Ds. Darit Ds. Ansang Ds. Mamek Ds. Bagak Kec. Ngabang Ds. Hilir Tengah Ds. Mungguk Kec. Sompak Ds. Sompak,LANDAK,KALIMANTAN BARAT,Dokumentasi,● Akibat curah hujan dengan intensitas yang tinggi sehingga menjadi penyebab terjadinya tanah longsor di Desa Ampadi Kecamatan Meranti Kabupaten Landak,1,0,0,0,2790,1
51,1114 101 20240818 1,1114,18/08/2024,BANJIR,Kec. Jaya Ds. Sapek Ds. Meudheun Kec. Indra Jaya Ds. Meudhang Ghon,ACEH JAYA,ACEH,Dokumentasi,● Dipicu hujan disertai angin kencang yang mengguyur Kabupaten Aceh Jaya dengan intensitas tinggi menyebabkan meluapnya air sungai yang menggenangi kawasan permukiman dan perumahan masyarakat.,0,0,0,0,339,0
52,6472 101 20240817 1,6472,17/08/2024,BANJIR,Kec. Samarinda Utara Kel. Lempake Kec. Sungai Pinang Kel. Gunung Lingai,KOTA SAMARINDA,KALIMANTAN TIMUR,Dokumentasi,● Dipicu hujan dengan intensitas tinggi sehingga drainase tidak lancar sehingga menyebabkan banjir,0,0,0,0,42,0
53,1175 101 20240817 1,1175,17/08/2024,BANJIR,Kec. Simpang Kiri Kel. Subulussalam Timur,KOTA SUBULUSSALAM,ACEH,Dokumentasi,"● Dipicu curah hujan dengan intensitas yang tinggi, terus menerus melanda Kota Subulussalam pada hari Sabtu, 17 Agustus 2024, Pkl. 19.30 WIB mengakibatkan banjir yang merendam rumah warga di desa Subulussalam Timur.",0,0,0,0,40,0
54,7101 101 20240813 1,7101,13/08/2024,BANJIR,Kec. Dumoga Ds. Toruakat Ds. Pusian Kec. Dumoga Timur Kel. Imandi Ds. Tonom Ds. Mogoyunggung I Ds. Mogoyunggung II Ds. Mogoyunggung Kec. Lolayan Ds. Tanoyan Utara Ds. Tanoyan Selatan Ds. Mengkang Ds. Mopusi Ds. Bakan Ds. Kopandakan II Ds. Mopait Ds. Tungoi I Ds. Bakan Kec. Passi Barat Ds. Lobong Kec. Bolaang Kel. Inobonto I Ds. Bango Molunow,BOLAANG MONGONDOW,SULAWESI UTARA,Dokumentasi,● Cuaca ekstrem hujan dengan intensitas tinggi yang terjadi di Wilayah Kab. Bolaang Mongondow sejak tanggal 12 Agustus 2024 hingga hari ini menyebabkan kapasitas/debit air sungai meluap dan merendam pemukiman masyarakat,0,0,0,1,1248,4
55,9601 101 20240813 1,9601,13/08/2024,BANJIR,Distrik Salawati Distrik Aimas Distrik Klamono Distrik Sayosa Distrik Segun Distrik Seget Distrik Mayamuk Distrik Salawati Selatan Distrik Maudus Distrik Klaso Distrik Moisegen Distrik Sorong Distrik Bagun Distrik Wemak Distrik Sunook Distrik Saengkeduk Distrik Malabotom Distrik Konhir Distrik Klasafet Distrik Sayosa Timur,SORONG,PAPUA BARAT DAYA,Dokumentasi,"● Dipicu hujan dengan intensitas tinggi yang berangsur lama sehingga mengakibatkan banjir pada hari Selasa, 13 Agustus 2024, Pkl. 14:35 WIT",0,0,0,2,3000,1
56,7602 101 20240813 1,7602,13/08/2024,BANJIR,Kec. Mamuju Kel. Mamunyu Kel. Binanga Ds. Bambu,MAMUJU,SULAWESI BARAT,Dokumentasi,"● Dipicu hujan dengan intensitas tinggi yang berangsur lama sehingga sungai kali Mamuju tidak dapat menampung debit air dan terjadi luapan / banjir pada hari Selasa, 13 Agustus 2024, Pkl. 15:30 WITA",0,0,0,1,717,1
57,1110 101 20240811 1,1110,11/08/2024,BANJIR,Kec. Simpang Kanan Ds. Silatong Ds. Lae Riman Ds. Ujung Limus Ds. Tanjung Mas Ds. Cibubukan Ds. Serasah Kec. Gunung Meriah Ds. Cingkam Ds. Rimo Kec. Danau Paris Ds. Situban Makmur Kec. Kta Baharu Ds. Samardua,ACEH SINGKIL,ACEH,Dokumentasi,● Hujan yg terus menerus melanda Kab. Aceh Singkil sejak beberapa hari terakhir hingga saat ini,0,0,0,0,419,0
